РЕЕСТР КРУПНЕЙШИХ ПРЕДПРИЯТИЙ РОССИИ (>10 МЛРД РУБЛЕЙ) С РАСШИРЕННЫМ IT & HIGH-TECH БЛОКОМ
===================================================================================================================
Глубокая детализация: BigTech, Системная интеграция, Разработка ПО, Кибербезопасность,
Микроэлектроника, Дата-центры, EdTech, FinTech, Телеком, ТЭК, Металлургия и Тяжелая индустрия.
===================================================================================================================

00001. [BigTech / Интернет-холдинг] МКПАО «Яндекс» | Головная структура: Головная IT-корпорация | Регион/Охват: РФ / Москва
00220. [Программное обеспечение / СУБД / ОС / Информационная безопасность] ЗАО «АСКОН» (САПР Компас-3D, ЛОЦМАН, ВЕРТИКАЛЬ) | Головная структура: Прочие ключевые вендоры и разработчики ПО >10 млрд | Регион/Охват: РФ
00221. [Программное обеспечение / СУБД / ОС / Информационная безопасность] АО «СиСофт Девелопмент» (CSoft - инженерное ПО Model Studio CS) | Головная структура: Прочие ключевые вендоры и разработчики ПО >10 млрд | Регион/Охват: РФ
00222. [Программное обеспечение / СУБД / ОС / Информационная безопасность] АО «ИнфоВотч» (InfoWatch - DLP системы предотвращения утечек данных) | Головная структура: Прочие ключевые вендоры и разработчики ПО >10 млрд | Регион/Охват: РФ
00223. [Программное обеспечение / СУБД / ОС / Информационная безопасность] ЗАО «Код Безопасности» (Сетевая безопасность «Континент», СЗИ «Соболь») | Головная структура: Прочие ключевые вендоры и разработчики ПО >10 млрд | Регион/Охват: РФ
00224. [Программное обеспечение / СУБД / ОС / Информационная безопасность] ОАО «ИнфоТеКС» (ViPNet - криптографическая защита информации) | Головная структура: Прочие ключевые вендоры и разработчики ПО >10 млрд | Регион/Охват: РФ
00225. [Программное обеспечение / СУБД / ОС / Информационная безопасность] ООО «Юзергейт» (UserGate - межсетевые экраны нового поколения NGFW) | Головная структура: Прочие ключевые вендоры и разработчики ПО >10 млрд | Регион/Охват: РФ
00226. [Программное обеспечение / СУБД / ОС / Информационная безопасность] ООО «СёрчИнформ» (SearchInform - информационная безопасность и аудит) | Головная структура: Прочие ключевые вендоры и разработчики ПО >10 млрд | Регион/Охват: РФ
00227. [Программное обеспечение / СУБД / ОС / Информационная безопасность] ООО «БИА-Технологии» (BIA-Technologies - логистический и транспортный IT-софт) | Головная структура: Прочие ключевые вендоры и разработчики ПО >10 млрд | Регион/Охват: РФ
00228. [Программное обеспечение / СУБД / ОС / Информационная безопасность] ООО «НТЦ Протей» (PROTEI - оборудование и софт для операторов связи) | Головная структура: Прочие ключевые вендоры и разработчики ПО >10 млрд | Регион/Охват: РФ
00229. [Программное обеспечение / СУБД / ОС / Информационная безопасность] ООО «Датавизор» (Datavisor - финансовый антифрод) | Головная структура: Прочие ключевые вендоры и разработчики ПО >10 млрд | Регион/Охват: РФ
00230. [Программное обеспечение / СУБД / ОС / Информационная безопасность] ООО «СИГИС Инжиниринг» (Геоинформационные системы) | Головная структура: Прочие ключевые вендоры и разработчики ПО >10 млрд | Регион/Охват: РФ
00231. [IT-Оборудование и Микроэлектроника] ГК «Merlion» (Крупнейший IT-дистрибьютор РФ) | Головная структура: Hardware / Микроэлектроника / IT-Дистрибуция | Регион/Охват: РФ
00232. [Завод электроники / Производство серверов / IT-Дистрибутор] ООО «Мерлион» (Дистрибуция IT, серверов, компонентов, ПК) | Головная структура: ГК «Merlion» (Крупнейший IT-дистрибьютор РФ) | Регион/Охват: РФ
00233. [Завод электроники / Производство серверов / IT-Дистрибутор] ООО «Ситилинк» (Электронный дискаунтер и ритейлер техники) | Головная структура: ГК «Merlion» (Крупнейший IT-дистрибьютор РФ) | Регион/Охват: РФ
00234. [Завод электроники / Производство серверов / IT-Дистрибутор] ООО «ПК Бюрократ» (Офисная мебель и аксессуары) | Головная структура: ГК «Merlion» (Крупнейший IT-дистрибьютор РФ) | Регион/Охват: РФ
00235. [Завод электроники / Производство серверов / IT-Дистрибутор] Торговая марка «iRU» (Производство серверов, ПК, моноблоков) | Головная структура: ГК «Merlion» (Крупнейший IT-дистрибьютор РФ) | Регион/Охват: РФ
00236. [Завод электроники / Производство серверов / IT-Дистрибутор] Торговая марка «Silwerhof» (Канцтовары и товары для офиса) | Головная структура: ГК «Merlion» (Крупнейший IT-дистрибьютор РФ) | Регион/Охват: РФ
00237. [IT-Оборудование и Микроэлектроника] ГК «OCS Distribution» | Головная структура: Hardware / Микроэлектроника / IT-Дистрибуция | Регион/Охват: РФ
00238. [Завод электроники / Производство серверов / IT-Дистрибутор] ООО «О-Си-Эс-Центр» (Крупнейший дистрибьютор сетевого, серверного и IT-оборудования) | Головная структура: ГК «OCS Distribution» | Регион/Охват: РФ
00239. [Завод электроники / Производство серверов / IT-Дистрибутор] OCS Cloud Platform (Сервисы облачной дистрибуции) | Головная структура: ГК «OCS Distribution» | Регион/Охват: РФ
00240. [Завод электроники / Производство серверов / IT-Дистрибутор] OCS Инжиниринговый центр (Кастомизация и тестирование IT-систем) | Головная структура: ГК «OCS Distribution» | Регион/Охват: РФ
00241. [IT-Оборудование и Микроэлектроника] Группа компаний «Марвел-Дистрибуция» / Fplus | Головная структура: Hardware / Микроэлектроника / IT-Дистрибуция | Регион/Охват: РФ
00242. [Завод электроники / Производство серверов / IT-Дистрибутор] ООО «Марвел КТ» (Marvel Distribution - дистрибьютор электроники) | Головная структура: Группа компаний «Марвел-Дистрибуция» / Fplus | Регион/Охват: РФ
00243. [Завод электроники / Производство серверов / IT-Дистрибутор] ООО «Ф-Плюс Мобайл» (Fplus - серверы, печатная техника, смартфоны, планшеты) | Головная структура: Группа компаний «Марвел-Дистрибуция» / Fplus | Регион/Охват: РФ
00244. [Завод электроники / Производство серверов / IT-Дистрибутор] Fplus Логистика и Складские терминалы | Головная структура: Группа компаний «Марвел-Дистрибуция» / Fplus | Регион/Охват: РФ
00245. [IT-Оборудование и Микроэлектроника] ГК «3Logic Group» | Головная структура: Hardware / Микроэлектроника / IT-Дистрибуция | Регион/Охват: РФ
00246. [Завод электроники / Производство серверов / IT-Дистрибутор] ООО «Новый Ай Ти Проект» (3Logic - дистрибьютор компонентов) | Головная структура: ГК «3Logic Group» | Регион/Охват: РФ
00247. [Завод электроники / Производство серверов / IT-Дистрибутор] Серверы и ПК «Гравитон» (Graviton - реестровая вычислительная техника) | Головная структура: ГК «3Logic Group» | Регион/Охват: РФ
00248. [Завод электроники / Производство серверов / IT-Дистрибутор] ООО «3Лоджик Производство» (Сборочные линии в РФ) | Головная структура: ГК «3Logic Group» | Регион/Охват: РФ
00249. [IT-Оборудование и Микроэлектроника] ПК «Аквариус» (Aquarius) | Головная структура: Hardware / Микроэлектроника / IT-Дистрибуция | Регион/Охват: РФ
00250. [Завод электроники / Производство серверов / IT-Дистрибутор] АО «ПК Аквариус» (Производство вычислительной техники) | Головная структура: ПК «Аквариус» (Aquarius) | Регион/Охват: РФ
00251. [Завод электроники / Производство серверов / IT-Дистрибутор] Завод «Аквариус» в г. Шуя (Ивановская область) | Головная структура: ПК «Аквариус» (Aquarius) | Регион/Охват: РФ
00252. [Завод электроники / Производство серверов / IT-Дистрибутор] Завод «Аквариус» в г. Тверь (Тверская область) | Головная структура: ПК «Аквариус» (Aquarius) | Регион/Охват: РФ
00253. [Завод электроники / Производство серверов / IT-Дистрибутор] Aquarius R&D Центр (Разработка материнских плат и серверов) | Головная структура: ПК «Аквариус» (Aquarius) | Регион/Охват: РФ
00254. [IT-Оборудование и Микроэлектроника] ПАО «Элемент» (Микроэлектроника) | Головная структура: Hardware / Микроэлектроника / IT-Дистрибуция | Регион/Охват: РФ
00255. [Завод электроники / Производство серверов / IT-Дистрибутор] АО «Микрон» (Зеленоград - фабрика чипов 180-90 нм, RFID) | Головная структура: ПАО «Элемент» (Микроэлектроника) | Регион/Охват: РФ
00256. [Завод электроники / Производство серверов / IT-Дистрибутор] АО «НИИМЭ» (НИИ молекулярной электроники) | Головная структура: ПАО «Элемент» (Микроэлектроника) | Регион/Охват: РФ
00257. [Завод электроники / Производство серверов / IT-Дистрибутор] АО «ВЗПП-Микрон» (Воронежский завод полупроводниковых приборов) | Головная структура: ПАО «Элемент» (Микроэлектроника) | Регион/Охват: РФ
00258. [Завод электроники / Производство серверов / IT-Дистрибутор] АО «НИИЭТ» (НИИ электронной техники - силовые транзисторы) | Головная структура: ПАО «Элемент» (Микроэлектроника) | Регион/Охват: РФ
00259. [Завод электроники / Производство серверов / IT-Дистрибутор] АО «НЗПП с ОКБ» (Новосибирский завод полупроводниковых приборов) | Головная структура: ПАО «Элемент» (Микроэлектроника) | Регион/Охват: РФ
00260. [Завод электроники / Производство серверов / IT-Дистрибутор] АО «Светлана-Полупроводники» (Санкт-Петербург) | Головная структура: ПАО «Элемент» (Микроэлектроника) | Регион/Охват: РФ
00261. [IT-Оборудование и Микроэлектроника] Прочие производители микроэлектроники и электроники >10 млрд | Головная структура: Hardware / Микроэлектроника / IT-Дистрибуция | Регион/Охват: РФ
00262. [Завод электроники / Производство серверов / IT-Дистрибутор] АО «НМ-Тех» (Зеленоград - фабрика передовых микросхем) | Головная структура: Прочие производители микроэлектроники и электроники >10 млрд | Регион/Охват: РФ
00263. [Завод электроники / Производство серверов / IT-Дистрибутор] GS Group (Инновационный кластер «Технополис GS» в Гусеве) | Головная структура: Прочие производители микроэлектроники и электроники >10 млрд | Регион/Охват: РФ
00264. [Завод электроники / Производство серверов / IT-Дистрибутор] ООО «Бештау Электроникс» (Заводы мониторов и плат в Ростове и Ессентуках) | Головная структура: Прочие производители микроэлектроники и электроники >10 млрд | Регион/Охват: РФ
00265. [Завод электроники / Производство серверов / IT-Дистрибутор] АО «МЦСТ» (Разработчик микропроцессоров «Эльбрус») | Головная структура: Прочие производители микроэлектроники и электроники >10 млрд | Регион/Охват: РФ
00266. [Завод электроники / Производство серверов / IT-Дистрибутор] АО «Байкал Электроникс» (Разработчик процессоров «Baikal») | Головная структура: Прочие производители микроэлектроники и электроники >10 млрд | Регион/Охват: РФ
00267. [Завод электроники / Производство серверов / IT-Дистрибутор] ОАО «АйСиЭл-КПО ВС» (ICL - завод компьютерной техники в Иннополисе/Казани) | Головная структура: Прочие производители микроэлектроники и электроники >10 млрд | Регион/Охват: РФ
00268. [Завод электроники / Производство серверов / IT-Дистрибутор] АО «Крафтвэй Корпорэйшн ПЛС» (Kraftway - ПК, серверы, контроллеры) | Головная структура: Прочие производители микроэлектроники и электроники >10 млрд | Регион/Охват: РФ
00269. [Завод электроники / Производство серверов / IT-Дистрибутор] ООО «Депо Компьютерс» (DEPO Computers - серверы и СХД) | Головная структура: Прочие производители микроэлектроники и электроники >10 млрд | Регион/Охват: РФ
00270. [Завод электроники / Производство серверов / IT-Дистрибутор] ЗАО «НВП «Болид» (Bolid - системы ОПС, контроллеры безопасности) | Головная структура: Прочие производители микроэлектроники и электроники >10 млрд | Регион/Охват: РФ
00271. [Завод электроники / Производство серверов / IT-Дистрибутор] АО «Рутек» (Смартфоны Р-ФОН, ОС РОСА) | Головная структура: Прочие производители микроэлектроники и электроники >10 млрд | Регион/Охват: РФ
00272. [ЦОД, Облака и Хостинг] ПАО «Ростелеком-ЦОД» (DataLine) | Головная структура: Cloud & Datacenter оператор | Регион/Охват: РФ
00273. [Дата-центр / Tier III / Облачная инфраструктура] ООО «ДатаЛайн» (DataLine - крупнейшая сеть коммерческих дата-центров) | Головная структура: ПАО «Ростелеком-ЦОД» (DataLine) | Регион/Охват: РФ
00274. [Дата-центр / Tier III / Облачная инфраструктура] ЦОД NORD (Москва) | Головная структура: ПАО «Ростелеком-ЦОД» (DataLine) | Регион/Охват: РФ
00275. [Дата-центр / Tier III / Облачная инфраструктура] ЦОД OST (Москва) | Головная структура: ПАО «Ростелеком-ЦОД» (DataLine) | Регион/Охват: РФ
00276. [Дата-центр / Tier III / Облачная инфраструктура] ЦОД Удомля (Калининская АЭС) | Головная структура: ПАО «Ростелеком-ЦОД» (DataLine) | Регион/Охват: РФ
00277. [Дата-центр / Tier III / Облачная инфраструктура] Платформа Ростелеком Cloud Enterprise | Головная структура: ПАО «Ростелеком-ЦОД» (DataLine) | Регион/Охват: РФ
00278. [ЦОД, Облака и Хостинг] ООО «Селектел» (Selectel) | Головная структура: Cloud & Datacenter оператор | Регион/Охват: РФ
00279. [Дата-центр / Tier III / Облачная инфраструктура] ООО «Селектел» (Провайдер IT-инфраструктуры и выделенных серверов) | Головная структура: ООО «Селектел» (Selectel) | Регион/Охват: РФ
00280. [Дата-центр / Tier III / Облачная инфраструктура] Дата-центры «Берзарина» и «Юрловский» (Москва) | Головная структура: ООО «Селектел» (Selectel) | Регион/Охват: РФ
00281. [Дата-центр / Tier III / Облачная инфраструктура] Дата-центры «Цветочная» и «Дубровка» (Санкт-Петербург) | Головная структура: ООО «Селектел» (Selectel) | Регион/Охват: РФ
00282. [Дата-центр / Tier III / Облачная инфраструктура] Selectel Cloud Platform & Server Farm | Головная структура: ООО «Селектел» (Selectel) | Регион/Охват: РФ
00283. [ЦОД, Облака и Хостинг] Прочие крупные дата-центры и хостинги >10 млрд | Головная структура: Cloud & Datacenter оператор | Регион/Охват: РФ
00284. [Дата-центр / Tier III / Облачная инфраструктура] ООО «Айксэлейрейт» (IXcellerate - гигантские ЦОД Moscow One, South) | Головная структура: Прочие крупные дата-центры и хостинги >10 млрд | Регион/Охват: РФ
00285. [Дата-центр / Tier III / Облачная инфраструктура] ООО «Оксиджен» (Oxygen Cloud & Data Center) | Головная структура: Прочие крупные дата-центры и хостинги >10 млрд | Регион/Охват: РФ
00286. [Дата-центр / Tier III / Облачная инфраструктура] ООО «3Дата» (3data - сеть премиальных дата-центров шаговой доступности) | Головная структура: Прочие крупные дата-центры и хостинги >10 млрд | Регион/Охват: РФ
00287. [Дата-центр / Tier III / Облачная инфраструктура] ООО «Линксдейтацентр» (Linxdatacenter - ЦОД Санкт-Петербург и Москва) | Головная структура: Прочие крупные дата-центры и хостинги >10 млрд | Регион/Охват: РФ
00288. [Дата-центр / Tier III / Облачная инфраструктура] ООО «РуВДС» (RuVDS - облачный хостинг серверов) | Головная структура: Прочие крупные дата-центры и хостинги >10 млрд | Регион/Охват: РФ
00289. [Дата-центр / Tier III / Облачная инфраструктура] ООО «Рег.ру» (REG.RU - крупнейший регистратор доменов и хостинг) | Головная структура: Прочие крупные дата-центры и хостинги >10 млрд | Регион/Охват: РФ
00290. [Дата-центр / Tier III / Облачная инфраструктура] ЗАО «Региональный Сетевой Информационный Центр» (RU-CENTER Group) | Головная структура: Прочие крупные дата-центры и хостинги >10 млрд | Регион/Охват: РФ
00291. [Финтех, Маркетплейсы, Сервисы] АО «НСПК» (Национальная система платежных карт) | Головная структура: Digital / FinTech / HR-Tech | Регион/Охват: РФ
00292. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] Платежная система «Мир» (Национальные банковские карты) | Головная структура: АО «НСПК» (Национальная система платежных карт) | Регион/Охват: РФ
00293. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] Система быстрых платежей (СБП - межбанковские переводы и QR-оплата) | Головная структура: АО «НСПК» (Национальная система платежных карт) | Регион/Охват: РФ
00294. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] Процессинговый центр НСПК | Головная структура: АО «НСПК» (Национальная система платежных карт) | Регион/Охват: РФ
00295. [Финтех, Маркетплейсы, Сервисы] ТКС Холдинг (Т-Банк FinTech) | Головная структура: Digital / FinTech / HR-Tech | Регион/Охват: РФ
00296. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] АО «Т-Банк» (Онлайн-банкинг и финтех) | Головная структура: ТКС Холдинг (Т-Банк FinTech) | Регион/Охват: РФ
00297. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Т-Инвестиции» (Брокерская платформа) | Головная структура: ТКС Холдинг (Т-Банк FinTech) | Регион/Охват: РФ
00298. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «КлаудПэйментс» (CloudPayments - интернет-эквайринг) | Головная структура: ТКС Холдинг (Т-Банк FinTech) | Регион/Охват: РФ
00299. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Т-Страхование» (Digital Insurtech) | Головная структура: ТКС Холдинг (Т-Банк FinTech) | Регион/Охват: РФ
00300. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Т-Мобайл» (Виртуальный оператор MVNO) | Головная структура: ТКС Холдинг (Т-Банк FinTech) | Регион/Охват: РФ
00301. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Джамп Финанс» (Jump.Finance - финтех для выплат) | Головная структура: ТКС Холдинг (Т-Банк FinTech) | Регион/Охват: РФ
00302. [Финтех, Маркетплейсы, Сервисы] Финтех-платформы и Цифровые Необанки | Головная структура: Digital / FinTech / HR-Tech | Регион/Охват: РФ
00303. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] АО «Точка» (Банк Точка - мультибанковский финтех для предпринимателей) | Головная структура: Финтех-платформы и Цифровые Необанки | Регион/Охват: РФ
00304. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «ЮМани» (ЮMoney / бывш. Яндекс.Деньги - финтех-экосистема) | Головная структура: Финтех-платформы и Цифровые Необанки | Регион/Охват: РФ
00305. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] АО КБ «Модульбанк» (Финтех для онлайн-бизнеса) | Головная структура: Финтех-платформы и Цифровые Необанки | Регион/Охват: РФ
00306. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] АО «Банк Бланк» (Цифровой мобильный банк) | Головная структура: Финтех-платформы и Цифровые Необанки | Регион/Охват: РФ
00307. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Робокасса» (Robokassa - платежный шлюз) | Головная структура: Финтех-платформы и Цифровые Необанки | Регион/Охват: РФ
00308. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «ПэйОнлайн Системс» (PayOnline / PayMaster эквайринг) | Головная структура: Финтех-платформы и Цифровые Необанки | Регион/Охват: РФ
00309. [Финтех, Маркетплейсы, Сервисы] Classifieds, HR-Tech & Услуги | Головная структура: Digital / FinTech / HR-Tech | Регион/Охват: РФ
00310. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «КЕХ еКоммерц» (Авито / Avito - крупнейший классифайд РФ) | Головная структура: Classifieds, HR-Tech & Услуги | Регион/Охват: РФ
00311. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] Avito Авто, Avito Недвижимость, Avito Работа, Avito Услуги | Головная структура: Classifieds, HR-Tech & Услуги | Регион/Охват: РФ
00312. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ПАО «ЦИАН» (CIAN Group - недвижимость и ипотечные сервисы) | Головная структура: Classifieds, HR-Tech & Услуги | Регион/Охват: РФ
00313. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ПАО «Хэдхантер» (HeadHunter / hh.ru - крупнейший сервис поиска работы) | Головная структура: Classifieds, HR-Tech & Услуги | Регион/Охват: РФ
00314. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Талантикс» (Talantix - облачная CRM для рекрутмента) | Головная структура: Classifieds, HR-Tech & Услуги | Регион/Охват: РФ
00315. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Скиллаз» (Skillaz - HR-автоматизация для корпораций) | Головная структура: Classifieds, HR-Tech & Услуги | Регион/Охват: РФ
00316. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «СуперДжоб» (SuperJob - сервис карьеры и подбора персонала) | Головная структура: Classifieds, HR-Tech & Услуги | Регион/Охват: РФ
00317. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Зарплата.ру» (HR-платформа) | Головная структура: Classifieds, HR-Tech & Услуги | Регион/Охват: РФ
00318. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Юду» (YouDo) & ООО «Профи.ру» (Profi.ru - маркетплейс специалистов) | Головная структура: Classifieds, HR-Tech & Услуги | Регион/Охват: РФ
00319. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Банки.ру» (Banki.ru - финансовый маркетплейс) | Головная структура: Classifieds, HR-Tech & Услуги | Регион/Охват: РФ
00320. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Сравни.ру» (Sravni.ru - финансовые и страховые сравнения) | Головная структура: Classifieds, HR-Tech & Услуги | Регион/Охват: РФ
00321. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Айти Консалт» (Drom.ru - автомобильный портал Сибири и ДВ) | Головная структура: Classifieds, HR-Tech & Услуги | Регион/Охват: РФ
00322. [Финтех, Маркетплейсы, Сервисы] EdTech Независимые холдинги | Головная структура: Digital / FinTech / HR-Tech | Регион/Охват: РФ
00323. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Нетология» (Нетология Групп) | Головная структура: EdTech Независимые холдинги | Регион/Охват: РФ
00324. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Центр онлайн-обучения Нетология-групп» (Фоксфорд) | Головная структура: EdTech Независимые холдинги | Регион/Охват: РФ
00325. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Скаенг» (Skyeng - школа английского и иностранных языков) | Головная структура: EdTech Независимые холдинги | Регион/Охват: РФ
00326. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Скайпро» (Skypro - онлайн-университет навыков) | Головная структура: EdTech Независимые холдинги | Регион/Охват: РФ
00327. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Максимум Интернешнл» (Maximum Education - подготовка к ЕГЭ/ОГЭ) | Головная структура: EdTech Независимые холдинги | Регион/Охват: РФ
00328. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Алгоритмика» (Международная школа программирования для детей) | Головная структура: EdTech Независимые холдинги | Регион/Охват: РФ
00329. [Финтех, Маркетплейсы, Сервисы] GameDev & Развлекательный Digital Tech | Головная структура: Digital / FinTech / HR-Tech | Регион/Охват: РФ
00330. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] Группа «Леста Игры» (Lesta Games - «Мир танков», «Мир кораблей», «Tanks Blitz») | Головная структура: GameDev & Развлекательный Digital Tech | Регион/Охват: РФ
00331. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «1С-СофтКлаб» (1C Game Studios - «Калибр», авиасимуляторы) | Головная структура: GameDev & Развлекательный Digital Tech | Регион/Охват: РФ
00332. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Иннова Дистрибьюшн» (Innova / Фогейм) | Головная структура: GameDev & Развлекательный Digital Tech | Регион/Охват: РФ
00333. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Аструм Энтертейнмент» (Astrum Entertainment - Warface, Battle Teams) | Головная структура: GameDev & Развлекательный Digital Tech | Регион/Охват: РФ
00334. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «Батлстейт Геймз» (Battlestate Games - Escape from Tarkov) | Головная структура: GameDev & Развлекательный Digital Tech | Регион/Охват: РФ
00335. [Fintech / E-commerce / HR-Tech / EdTech / GameDev] ООО «КарИкс Технологии» (CarX Technologies - мобильные гоночные симуляторы) | Головная структура: GameDev & Развлекательный Digital Tech | Регион/Охват: РФ
00336. [Телеком, Связь и Цифровая инфраструктура] ПАО «Ростелеком» | Головная структура: Телеком-холдинг | Регион/Охват: РФ
00337. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ООО «Т2 Мобайл» (T2 / Tele2 Россия - федеральный сотовый оператор) | Головная структура: ПАО «Ростелеком» | Регион/Охват: РФ
00338. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ПАО «Башинформсвязь» | Головная структура: ПАО «Ростелеком» | Регион/Охват: РФ
00339. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ООО «РТ Лабс» (Разработчик портала Госуслуги) | Головная структура: ПАО «Ростелеком» | Регион/Охват: РФ
00340. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ООО «Ростелеком-Солар» (Solar Security) | Головная структура: ПАО «Ростелеком» | Регион/Охват: РФ
00341. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] Онлайн-кинотеатр Wink (СП с НМГ) | Головная структура: ПАО «Ростелеком» | Регион/Охват: РФ
00342. [Телеком, Связь и Цифровая инфраструктура] ПАО «Мобильные ТелеСистемы» (МТС) | Головная структура: Телеком-холдинг | Регион/Охват: РФ
00343. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ПАО «МТС» (Крупнейший мобильный оператор РФ) | Головная структура: ПАО «Мобильные ТелеСистемы» (МТС) | Регион/Охват: РФ
00344. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ПАО «МГТС» (Московская городская телефонная сеть) | Головная структура: ПАО «Мобильные ТелеСистемы» (МТС) | Регион/Охват: РФ
00345. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ООО «МТС Диджитал» (MTS Digital - IT-разработка) | Головная структура: ПАО «Мобильные ТелеСистемы» (МТС) | Регион/Охват: РФ
00346. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ООО «Клауд МТС» (CloudMTS) | Головная структура: ПАО «Мобильные ТелеСистемы» (МТС) | Регион/Охват: РФ
00347. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ООО «МТС Медиа» (KION) | Головная структура: ПАО «Мобильные ТелеСистемы» (МТС) | Регион/Охват: РФ
00348. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ООО «МТС Юрент» (Urent - крупнейший сервис кикшеринга) | Головная структура: ПАО «Мобильные ТелеСистемы» (МТС) | Регион/Охват: РФ
00349. [Телеком, Связь и Цифровая инфраструктура] ПАО «МегаФон» | Головная структура: Телеком-холдинг | Регион/Охват: РФ
00350. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ПАО «МегаФон» (Федеральный телеком-оператор) | Головная структура: ПАО «МегаФон» | Регион/Охват: РФ
00351. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ООО «Скартел» (Yota) | Головная структура: ПАО «МегаФон» | Регион/Охват: РФ
00352. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ООО «Нетбайнет» (Wifire) | Головная структура: ПАО «МегаФон» | Регион/Охват: РФ
00353. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] АО «МегаФон Ритейл» (Сеть салонов связи) | Головная структура: ПАО «МегаФон» | Регион/Охват: РФ
00354. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ООО «МегаЛабс» (R&D и цифровые проекты МегаФона) | Головная структура: ПАО «МегаФон» | Регион/Охват: РФ
00355. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] АО «Нэксигн» (Nexign / Петер-Сервис - биллинговые BSS системы) | Головная структура: ПАО «МегаФон» | Регион/Охват: РФ
00356. [Телеком, Связь и Цифровая инфраструктура] ПАО «Вымпел-Коммуникации» (Билайн) | Головная структура: Телеком-холдинг | Регион/Охват: РФ
00357. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ПАО «ВымпелКом» (Сотовая и фиксированная связь Билайн) | Головная структура: ПАО «Вымпел-Коммуникации» (Билайн) | Регион/Охват: РФ
00358. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ООО «Вест Колл Лтд» | Головная структура: ПАО «Вымпел-Коммуникации» (Билайн) | Регион/Охват: РФ
00359. [Оператор сотовой связи / Магистральная сеть / BSS / Кикшеринг] ООО «ДатаФорт» (Beeline Cloud) | Головная структура: ПАО «Вымпел-Коммуникации» (Билайн) | Регион/Охват: РФ
